Date_Read,Plate,Sample,SampleNum,Virus,PlateLayout,StartDil,DilFactor
211217,Plate 1,P02,1,Delta,layout1.csv,0.04,3
211217,Plate 1,P03,2,Delta,layout1.csv,0.04,3
211217,Plate 1,P04,3,Delta,layout1.csv,0.04,3
211217,Plate 1,P05,4,Delta,layout1.csv,0.04,3
211217,Plate 2,P02,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 2,P03,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 2,P04,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 2,P05,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 3,P02,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 3,P03,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 3,P04,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 3,P05,4,Delta_E484K,layout1.csv,0.04,3
211217,Plate 4,P08,1,Delta,layout1.csv,0.04,3
211217,Plate 4,P09,2,Delta,layout1.csv,0.04,3
211217,Plate 4,P12,3,Delta,layout1.csv,0.04,3
211217,Plate 4,P14,4,Delta,layout1.csv,0.04,3
211217,Plate 5,P08,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 5,P09,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 5,P12,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 5,P14,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 6,P08,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 6,P09,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 6,P12,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 6,P14,4,Delta_E484K,layout1.csv,0.04,3
211217,Plate 7,267C,1,Delta,layout1.csv,0.04,3
211217,Plate 7,268C,2,Delta,layout1.csv,0.04,3
211217,Plate 7,273C,3,Delta,layout1.csv,0.04,3
211217,Plate 7,274C,4,Delta,layout1.csv,0.04,3
211217,Plate 8,267C,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 8,268C,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 8,273C,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 8,274C,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 9,267C,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 9,268C,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 9,273C,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 9,274C,4,Delta_E484K,layout1.csv,0.04,3
211217,Plate 10,276C,1,Delta,layout1.csv,0.04,3
211217,Plate 10,277C,2,Delta,layout1.csv,0.04,3
211217,Plate 10,278C,3,Delta,layout1.csv,0.04,3
211217,Plate 10,279C,4,Delta,layout1.csv,0.04,3
211217,Plate 11,276C,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 11,277C,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 11,278C,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 11,279C,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 12,276C,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 12,277C,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 12,278C,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 12,279C,4,Delta_E484K,layout1.csv,0.04,3
211217,Plate 13,Delta_1,1,Delta,layout1.csv,0.04,3
211217,Plate 13,Delta_3,2,Delta,layout1.csv,0.04,3
211217,Plate 13,Delta_4,3,Delta,layout1.csv,0.04,3
211217,Plate 13,Delta_6,4,Delta,layout1.csv,0.04,3
211217,Plate 14,Delta_1,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 14,Delta_3,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 14,Delta_4,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 14,Delta_6,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 15,Delta_1,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 15,Delta_3,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 15,Delta_4,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 15,Delta_6,4,Delta_E484K,layout1.csv,0.04,3
211217,Plate 16,Delta_7,1,Delta,layout1.csv,0.04,3
211217,Plate 16,Delta_8,2,Delta,layout1.csv,0.04,3
211217,Plate 16,Delta_10,3,Delta,layout1.csv,0.04,3
211217,Plate 16,Delta_11,4,Delta,layout1.csv,0.04,3
211217,Plate 17,Delta_7,1,Delta_K417N,layout1.csv,0.04,3
211217,Plate 17,Delta_8,2,Delta_K417N,layout1.csv,0.04,3
211217,Plate 17,Delta_10,3,Delta_K417N,layout1.csv,0.04,3
211217,Plate 17,Delta_11,4,Delta_K417N,layout1.csv,0.04,3
211217,Plate 18,Delta_7,1,Delta_E484K,layout1.csv,0.04,3
211217,Plate 18,Delta_8,2,Delta_E484K,layout1.csv,0.04,3
211217,Plate 18,Delta_10,3,Delta_E484K,layout1.csv,0.04,3
211217,Plate 18,Delta_11,4,Delta_E484K,layout1.csv,0.04,3
